Source Target
747 1
747 15
747 840
747 986
747 546
747 892
747 538
747 108
747 877
0 709
709 874
709 804
709 966
808 1
808 715
808 867
808 51
808 308
808 870
808 764
808 627
808 440
1 501
501 228
501 434
501 560
48 2
48 55
392 2
392 197
392 784
392 761
392 800
165 2
165 65
165 864
165 677
165 261
2 558
2 393
2 473
687 12
687 322
687 523
687 690
687 364
687 337
9 182
9 16
9 225
9 778
9 963
564 18
564 47
564 787
19 73
19 136
19 791
860 11
860 260
860 45
860 724
12 453
12 89
12 144
12 72
12 309
12 866
12 943
453 527
453 656
453 252
452 18
452 235
452 257
452 101
452 292
452 633
452 432
485 17
485 865
485 427
485 947
485 211
182 274
182 811
182 869
606 17
606 62
606 109
606 848
606 264
356 15
356 20
356 984
356 21
356 41
356 204
356 85
356 615
73 689
73 267
73 635
73 838
73 253
136 32
136 37
136 590
136 99
136 828
10 956
10 227
10 944
207 553
207 13
207 619
207 934
207 287
35 14
35 199
35 927
35 726
35 632
343 14
343 43
343 475
343 324
343 757
343 567
291 11
291 671
291 290
291 770
291 385
291 565
291 732
999 837
999 14
999 173
999 591
956 70
956 115
956 301
341 8
341 872
341 649
341 666
341 876
89 383
89 218
89 231
89 700
89 232
15 167
15 322
15 235
144 142
144 197
144 770
144 206
144 647
167 556
167 172
167 766
623 16
623 658
623 950
623 68
623 664
623 797
623 811
880 529
880 16
880 57
880 323
880 316
880 816
880 799
880 873
620 17
620 558
620 413
620 627
620 604
140 18
140 64
140 784
140 990
140 897
660 334
660 17
660 648
660 335
660 90
660 118
660 461
660 857
660 638
660 440
768 8
768 652
768 617
768 374
768 102
768 216
334 18
334 979
334 79
334 75
334 403
791 364
791 703
997 14
997 694
997 713
997 67
997 62
997 154
997 932
997 106
20 785
20 349
20 66
20 512
20 518
227 568
227 183
227 239
227 203
227 795
227 954
227 313
275 11
275 186
275 223
275 458
72 866
72 415
72 237
72 416
72 741
72 934
72 361
72 670
72 545
72 478
72 215
944 26
944 556
944 497
944 385
944 336
944 280
944 989
879 16
879 425
879 229
879 214
879 475
879 170
879 710
879 616
879 969
879 661
879 446
17 83
17 529
17 785
17 415
309 43
309 681
11 837
837 66
837 483
837 897
837 848
866 835
866 885
866 697
866 177
866 474
866 277
634 13
634 550
634 324
634 843
322 16
322 388
322 809
322 421
322 604
83 174
83 63
83 561
83 509
529 77
529 542
529 85
529 849
529 857
32 8
32 713
32 827
225 31
225 938
225 146
225 405
943 250
943 811
943 467
943 644
778 928
778 541
778 232
778 492
778 952
778 385
778 712
778 365
778 773
18 535
984 13
984 865
984 839
984 39
984 276
984 196
984 960
984 205
984 261
984 570
782 8
782 304
782 470
785 462
785 541
785 52
785 243
785 915
785 469
785 862
785 438
535 29
535 425
535 636
535 224
380 21
380 441
380 135
380 991
380 644
380 970
965 23
965 619
965 807
965 489
965 85
965 952
965 904
965 510
462 24
462 237
462 132
462 432
462 330
349 315
349 71
349 635
349 981
349 496
349 897
349 795
349 621
349 299
192 30
192 295
192 384
192 166
192 97
192 669
192 923
192 208
192 259
682 25
530 30
530 94
530 632
530 718
530 181
530 124
530 935
530 708
530 616
530 834
898 25
898 599
898 835
898 91
898 387
898 613
898 793
898 661
898 499
23 781
23 137
190 26
190 415
190 658
190 432
202 28
202 415
202 723
202 590
202 637
202 166
202 99
202 571
202 856
202 688
202 887
31 199
31 553
31 603
31 961
31 840
31 925
733 21
733 986
733 886
66 497
66 155
66 60
66 885
66 150
199 172
199 855
553 894
553 70
553 404
553 877
788 22
788 388
788 830
788 917
788 432
788 281
788 703
603 333
603 717
603 763
603 492
603 374
603 695
891 21
891 792
891 168
891 763
891 379
891 100
451 25
451 717
451 335
451 411
451 786
451 945
26 527
26 671
26 622
28 694
28 466
625 22
625 321
625 827
625 230
625 361
625 853
625 744
625 680
625 515
625 988
625 365
22 734
22 609
22 312
22 556
22 228
22 57
22 936
734 800
734 926
27 333
27 459
27 890
27 77
27 454
27 938
27 987
333 971
333 954
333 395
781 312
781 130
781 156
781 201
781 613
694 722
694 443
459 531
890 186
890 143
890 745
466 542
466 697
466 133
466 621
466 397
466 514
25 344
715 21
715 53
715 912
715 605
715 102
715 339
715 667
794 21
794 382
794 543
794 783
512 467
512 311
512 776
512 597
609 637
609 902
609 586
928 21
928 183
928 74
928 138
928 270
928 646
312 29
312 168
312 399
312 849
312 206
312 368
312 351
312 850
312 329
556 39
556 550
556 544
556 746
21 867
21 69
21 961
21 241
137 846
137 907
137 252
77 527
77 383
77 246
454 637
454 111
454 206
867 840
867 497
867 561
228 244
228 384
228 435
228 843
228 676
527 171
527 532
527 404
527 509
527 515
527 773
527 471
671 548
671 237
671 704
671 111
344 158
344 235
344 824
344 920
344 424
344 419
69 650
69 363
69 524
69 962
518 263
518 417
518 910
518 487
518 862
518 418
938 357
938 762
938 693
938 657
938 161
938 595
30 94
30 98
30 723
961 737
961 206
961 889
961 499
57 377
57 863
57 388
57 874
94 243
94 317
94 538
94 271
94 787
94 985
94 112
94 593
94 233
98 589
98 492
936 52
936 351
622 114
622 477
622 816
241 737
241 379
241 442
241 376
241 270
752 723
752 4
752 853
752 449
752 710
752 638
752 995
752 596
919 3
919 780
919 730
919 403
919 474
919 771
919 767
919 400
963 4
963 179
963 60
963 70
963 546
963 955
963 160
963 608
963 830
963 203
963 686
272 6
272 395
626 7
626 829
626 132
626 993
626 922
648 7
648 576
648 578
648 200
648 526
648 621
648 330
713 7
713 49
713 78
713 811
713 396
713 616
558 949
558 229
558 411
558 128
558 736
558 758
558 929
260 6
260 637
260 79
260 152
260 941
260 432
260 338
987 7
987 289
987 306
987 663
3 158
3 146
3 13
3 865
158 723
158 986
158 617
158 360
158 353
513 4
513 350
513 544
513 565
513 337
357 6
357 496
357 749
357 571
357 198
357 223
357 208
357 261
357 510
415 6
415 751
415 930
415 376
723 5
723 526
723 296
146 719
146 641
146 749
146 283
146 480
146 145
146 320
393 494
393 923
393 843
651 4
651 411
651 224
651 381
792 4
792 717
792 728
851 5
851 722
851 62
851 975
851 638
7 168
865 841
865 672
865 463
865 278
235 5
235 789
235 573
168 591
168 736
473 762
473 123
473 301
473 458
473 305
119 37
119 826
119 389
119 980
119 714
119 164
119 516
839 38
839 186
839 417
839 720
762 33
762 756
762 226
762 145
762 370
762 429
818 41
818 735
818 474
818 799
818 815
818 429
33 327
33 979
33 355
33 541
33 731
33 629
38 433
38 824
38 737
142 34
142 355
142 53
142 619
142 690
142 218
142 826
142 814
142 176
142 695
37 722
37 250
37 846
37 254
37 636
722 840
722 361
722 688
722 418
433 105
433 903
433 188
433 882
894 39
894 658
894 460
894 112
894 674
455 40
455 542
455 76
455 672
455 301
455 679
738 34
738 962
738 692
738 367
738 457
824 212
824 765
824 288
824 910
39 129
39 180
173 41
173 145
173 996
173 287
36 162
250 298
41 717
41 362
41 685
41 913
41 927
717 108
717 826
717 703
840 483
327 761
327 522
327 935
327 814
327 695
327 340
327 924
327 750
327 474
162 180
162 133
162 900
162 935
162 780
362 831
362 578
362 593
737 55
737 828
737 557
737 560
737 421
685 576
685 704
685 881
913 187
913 259
129 109
129 757
129 588
129 135
846 680
846 320
846 367
846 328
846 398
846 812
979 68
979 892
979 475
979 290
979 103
979 354
979 510
979 970
979 595
321 42
321 358
321 582
321 669
520 42
520 151
520 932
520 729
925 271
925 198
925 169
925 906
34 371
34 375
34 193
34 204
34 658
371 56
371 697
371 811
371 314
371 996
371 904
371 505
375 65
375 244
375 672
375 163
375 296
375 937
42 542
42 590
42 702
42 967
42 425
355 247
355 197
355 546
355 383
355 809
827 761
827 673
827 389
180 335
180 151
180 108
180 825
193 753
193 503
193 477
542 619
542 183
590 174
590 673
590 725
590 825
590 248
590 953
702 59
702 561
702 354
702 758
541 552
541 246
541 870
541 830
541 616
541 255
541 266
731 949
731 256
731 679
731 855
254 578
254 770
254 109
254 203
967 803
967 976
967 668
967 498
43 212
43 131
43 552
43 986
212 348
212 508
212 109
212 708
425 640
425 903
425 801
425 630
131 810
629 718
629 307
629 775
629 989
726 101
726 575
636 483
636 187
636 980
632 763
632 125
552 735
986 236
986 211
658 166
658 813
52 434
52 912
434 383
434 533
434 320
49 335
49 323
49 230
382 53
382 907
382 784
382 870
382 641
382 277
382 482
382 409
247 45
247 188
247 659
831 47
831 842
831 286
831 320
44 315
44 279
44 619
599 50
599 99
599 914
599 895
599 594
599 921
819 55
819 215
819 756
819 479
819 676
315 181
315 725
315 780
55 753
